aX,aY,aZ,gX,gY,gZ
0.118,-0.796,0.118,-158.264,-12.390,-36.438
0.106,-0.844,0.134,-148.743,-14.954,-34.668
0.105,-0.812,0.151,-148.621,-17.090,-31.433
0.135,-0.780,0.195,-149.536,-19.958,-28.870
0.154,-0.778,0.248,-153.442,-24.597,-27.893
0.141,-0.810,0.288,-157.593,-29.236,-30.212
0.168,-0.762,0.373,-158.813,-33.020,-33.508
0.116,-0.804,0.376,-156.189,-32.715,-40.039
0.082,-0.814,0.401,-154.785,-33.447,-38.696
0.065,-0.821,0.410,-151.062,-29.907,-37.109
0.038,-0.813,0.392,-143.860,-25.574,-33.508
0.017,-0.806,0.351,-135.010,-22.217,-27.893
0.002,-0.775,0.324,-127.197,-19.287,-21.545
0.021,-0.719,0.294,-123.352,-15.625,-16.174
0.077,-0.644,0.246,-125.610,-9.827,-14.099
0.109,-0.599,0.228,-134.094,-2.502,-18.433
0.092,-0.603,0.293,-153.015,5.127,-28.198
0.067,-0.618,0.412,-173.340,6.836,-35.156
0.036,-0.629,0.542,-186.707,-0.916,-37.842
-0.024,-0.631,0.654,-188.660,-13.550,-37.720
-0.070,-0.629,0.711,-179.810,-26.917,-35.095
-0.054,-0.610,0.753,-164.185,-33.875,-29.114
-0.031,-0.580,0.801,-149.780,-33.081,-22.949
0.027,-0.533,0.823,-138.062,-27.344,-18.188
0.063,-0.489,0.873,-130.554,-17.700,-17.578
0.052,-0.476,0.972,-132.568,-5.615,-20.203
0.040,-0.506,1.073,-134.216,3.601,-21.667
0.014,-0.552,1.143,-130.371,9.338,-22.034
-0.012,-0.571,1.174,-122.864,11.536,-22.095
-0.047,-0.591,1.180,-114.380,9.888,-21.179
-0.062,-0.604,1.176,-104.980,3.357,-18.433
-0.241,-0.484,2.376,126.160,-79.590,34.058
-0.252,-0.447,2.387,160.950,-85.266,39.001
-0.313,-0.409,2.368,194.031,-82.031,41.748
-0.353,-0.437,2.315,225.342,-66.956,45.105
-0.349,-0.500,2.230,262.756,-45.105,50.964
-0.335,-0.455,2.134,294.067,-25.146,58.838
-0.327,-0.346,2.022,321.533,-12.451,67.993
-0.313,-0.215,1.942,353.149,-3.357,79.529
-0.304,-0.060,1.842,386.108,1.770,89.966
-0.274,0.063,1.687,424.377,3.052,99.487
-0.243,0.224,1.429,463.501,6.226,109.131
-0.146,0.409,1.103,492.432,10.864,116.638
-0.054,0.497,0.820,505.371,18.860,119.812
0.005,0.468,0.591,508.789,27.161,117.126
0.078,0.504,0.415,502.136,34.607,115.295
0.154,0.617,0.232,489.380,39.429,115.967
0.200,0.659,0.037,482.727,35.950,112.427
0.200,0.708,-0.259,479.248,25.940,107.056
0.195,0.803,-0.669,470.642,20.264,106.873
0.196,0.843,-1.080,451.965,29.297,114.990
0.197,0.856,-1.439,419.983,55.420,124.268
0.135,0.904,-1.754,382.141,83.740,130.676
0.030,0.958,-2.093,346.130,103.943,134.888
-0.077,1.028,-2.428,307.251,118.408,141.724
-0.145,1.060,-2.732,269.531,122.803,151.794
-0.162,1.026,-2.916,228.271,106.262,157.776
-0.069,0.972,-3.019,180.664,72.327,151.245
0.131,0.827,-3.033,127.747,31.006,128.601
0.296,0.476,-2.831,72.998,4.089,91.919
0.440,0.185,-2.387,7.019,-7.080,54.932
0.474,-0.100,-1.729,-55.420,-10.681,23.560
0.512,-0.325,-1.054,-95.703,-11.414,-5.005
0.491,-0.552,-0.493,-114.685,-9.399,-25.146
0.527,-0.730,-0.065,-113.403,-10.437,-36.377
0.497,-0.899,0.211,-91.492,-19.714,-37.598
0.418,-1.037,0.257,-56.213,-22.461,-36.133
0.351,-1.098,0.138,-24.170,-16.968,-36.072
0.290,-1.080,-0.043,-2.625,-9.094,-30.090
0.190,-1.005,-0.255,10.010,-1.526,-20.020
0.109,-0.921,-0.469,17.761,7.141,-11.108
0.074,-0.838,-0.662,21.179,16.479,-2.441
0.060,-0.743,-0.823,18.921,21.057,5.676
0.106,-0.653,-0.945,13.672,17.700,10.376
0.174,-0.585,-1.030,6.470,10.620,9.521
0.223,-0.570,-1.068,-2.197,1.831,3.174
0.268,-0.574,-1.042,-13.489,-6.592,-3.296
0.287,-0.578,-0.942,-25.635,-11.780,-8.972
0.284,-0.586,-0.837,-33.447,-13.550,-13.977
0.274,-0.604,-0.769,-35.645,-13.123,-14.709
0.277,-0.628,-0.731,-34.912,-11.353,-10.925
0.283,-0.650,-0.710,-33.752,-8.118,-5.859
0.289,-0.658,-0.715,-33.569,-3.418,-1.160
0.296,-0.641,-0.738,-34.241,-0.305,2.136
0.314,-0.634,-0.781,-36.072,0.977,1.587
0.310,-0.621,-0.825,-39.734,2.319,-1.404
0.300,-0.599,-0.892,-46.082,2.014,-5.737
0.282,-0.572,-0.945,-55.176,-0.427,-10.864
0.246,-0.540,-0.998,-64.270,-3.296,-15.564
0.208,-0.531,-0.993,-72.449,-7.263,-19.836
0.158,-0.496,-0.975,-81.848,-10.986,-21.179
0.130,-0.480,-0.933,-90.088,-12.878,-19.592
0.111,-0.480,-0.903,-93.811,-11.414,-15.076
0.112,-0.483,-0.896,-95.093,-9.766,-9.827
0.136,-0.494,-0.889,-97.961,-8.057,-6.042
0.154,-0.503,-0.878,-101.563,-6.653,-4.028
0.156,-0.519,-0.863,-107.178,-5.066,-3.723
0.163,-0.533,-0.855,-113.159,-3.296,-3.723
0.181,-0.542,-0.860,-120.972,-2.319,-3.662
0.202,-0.543,-0.864,-131.897,-2.747,-5.005
0.209,-0.543,-0.837,-145.996,-3.296,-9.399
0.198,-0.536,-0.800,-161.682,-4.150,-15.137
0.210,-0.531,-0.727,-177.612,-7.080,-20.142
0.208,-0.538,-0.635,-190.491,-11.108,-25.940
0.189,-0.542,-0.540,-201.782,-16.296,-32.654
0.165,-0.535,-0.455,-208.984,-22.888,-37.354
0.141,-0.539,-0.380,-209.473,-31.006,-39.612
0.116,-0.541,-0.334,-207.153,-35.828,-39.856
0.137,-0.543,-0.320,-204.346,-36.133,-38.940
0.164,-0.546,-0.294,-204.468,-30.212,-38.025
0.170,-0.562,-0.249,-210.083,-18.799,-38.086
0.177,-0.582,-0.194,-217.468,-10.010,-39.185
0.163,-0.601,-0.138,-223.328,-6.409,-38.757
0.157,-0.594,-0.084,-228.210,-5.859,-36.194
0.148,-0.573,-0.049,-233.215,-9.033,-34.241
0.149,-0.547,-0.034,-238.647,-14.648,-34.912
0.167,-0.518,0.003,-246.704,-17.395,-39.124
0.149,-0.501,0.110,-261.047,-14.771,-45.837
0.119,-0.501,0.276,-274.475,-11.780,-50.537
0.101,-0.517,0.474,-281.860,-13.184,-49.988
0.077,-0.540,0.667,-279.968,-18.555,-45.654
0.056,-0.555,0.797,-263.184,-26.184,-38.940
0.090,-0.556,0.834,-235.046,-32.532,-32.471
0.111,-0.561,0.818,-208.069,-32.898,-29.602
0.107,-0.576,0.811,-192.078,-25.879,-30.579
0.077,-0.597,0.840,-186.096,-16.357,-32.043
0.083,-0.598,0.887,-186.707,-8.484,-30.273
0.101,-0.589,0.959,-189.880,-4.822,-26.978
0.087,-0.595,1.028,-192.932,-5.066,-26.978
0.081,-0.605,1.082,-191.223,-10.132,-29.297
0.066,-0.627,1.177,-185.059,-18.982,-32.227
-0.216,-0.328,2.681,136.536,-79.224,42.908
-0.270,-0.320,2.725,186.462,-84.717,43.457
-0.353,-0.375,2.681,236.084,-77.087,41.138
-0.389,-0.444,2.568,286.011,-56.702,46.021
-0.381,-0.415,2.441,325.745,-32.288,58.899
-0.398,-0.291,2.361,352.539,-15.076,75.134
-0.391,-0.165,2.292,386.719,-3.418,88.135
-0.367,-0.056,2.182,433.838,5.432,99.976
-0.304,0.113,2.015,479.431,9.521,115.051
-0.275,0.327,1.766,518.982,10.254,130.005
-0.185,0.550,1.405,557.129,13.977,143.127
-0.116,0.754,0.957,580.139,24.292,152.832
-0.000,0.841,0.508,584.167,38.269,153.503
0.109,0.837,0.153,569.092,53.772,149.231
0.166,0.916,-0.112,541.931,65.125,141.479
0.283,0.953,-0.366,518.982,60.120,131.348
0.323,0.917,-0.592,495.544,48.279,118.103
0.311,0.903,-0.842,467.468,41.504,104.797
0.338,0.905,-1.121,437.378,37.537,98.694
0.304,0.911,-1.406,405.212,41.443,100.220
0.185,0.949,-1.742,373.047,50.171,101.074
0.115,1.019,-2.115,338.745,57.312,102.844
0.042,1.074,-2.470,298.279,61.829,109.497
-0.032,1.106,-2.772,250.854,62.988,114.807
-0.081,1.089,-2.988,199.158,57.190,114.868
-0.020,0.999,-3.098,143.860,42.908,109.741
0.104,0.756,-3.019,84.229,29.419,94.727
0.250,0.447,-2.659,19.897,23.071,70.801
0.355,0.240,-2.086,-43.640,18.127,44.006
0.417,-0.033,-1.472,-86.975,11.230,20.020
0.458,-0.305,-0.919,-103.943,-1.099,-1.160
0.486,-0.575,-0.480,-103.699,-11.230,-17.639
0.474,-0.787,-0.151,-98.206,-14.343,-34.363
0.449,-0.951,0.054,-87.280,-19.836,-38.208
0.385,-1.034,0.113,-69.519,-19.958,-36.926
0.318,-1.037,0.046,-48.279,-17.822,-29.602
0.245,-1.048,-0.116,-25.208,-11.292,-23.437
0.181,-1.004,-0.281,-10.986,-4.700,-17.212
0.121,-0.922,-0.447,-3.235,1.709,-7.507
0.106,-0.848,-0.607,1.648,7.507,0.427
0.152,-0.771,-0.737,3.906,7.629,4.822
0.180,-0.713,-0.815,1.831,3.113,4.700
0.196,-0.676,-0.846,-0.977,-2.563,0.793
0.220,-0.647,-0.860,-4.944,-7.996,-3.967
0.253,-0.633,-0.848,-9.033,-13.000,-6.226
0.285,-0.630,-0.825,-13.062,-16.357,-7.019
0.317,-0.641,-0.797,-17.334,-17.517,-8.423
0.333,-0.650,-0.767,-21.484,-17.273,-10.010
0.343,-0.657,-0.746,-24.414,-18.188,-10.498
0.344,-0.662,-0.738,-26.306,-18.738,-10.315
0.342,-0.655,-0.746,-28.625,-17.517,-10.742
0.340,-0.643,-0.776,-31.372,-15.564,-10.986
0.339,-0.628,-0.815,-35.339,-14.465,-10.559
0.327,-0.616,-0.850,-41.992,-13.062,-12.024
0.312,-0.598,-0.873,-50.476,-12.451,-14.648
0.300,-0.574,-0.880,-58.777,-13.000,-16.724
0.271,-0.538,-0.870,-67.017,-14.465,-18.921
0.232,-0.519,-0.857,-73.303,-14.526,-21.423
0.221,-0.519,-0.846,-75.317,-13.306,-21.729
0.241,-0.522,-0.824,-78.613,-11.841,-19.470
0.238,-0.546,-0.793,-80.811,-11.169,-16.602
0.241,-0.576,-0.779,-83.740,-11.902,-16.296
0.244,-0.587,-0.783,-88.257,-13.489,-17.456
0.239,-0.589,-0.799,-94.482,-14.099,-17.822
0.225,-0.585,-0.812,-102.295,-13.000,-18.188
0.215,-0.574,-0.825,-111.572,-10.925,-18.188
0.208,-0.559,-0.833,-121.399,-8.606,-17.883
0.199,-0.549,-0.831,-131.104,-5.981,-17.639
0.192,-0.524,-0.819,-141.479,-4.150,-18.005
0.199,-0.501,-0.786,-152.039,-3.784,-18.677
0.199,-0.493,-0.742,-161.865,-3.113,-19.409
0.206,-0.494,-0.693,-171.204,-3.235,-21.484
0.234,-0.507,-0.648,-179.321,-5.554,-24.536
0.243,-0.499,-0.594,-188.293,-9.033,-28.137
0.227,-0.499,-0.534,-195.984,-13.733,-32.166
0.220,-0.522,-0.472,-202.454,-19.104,-35.706
0.211,-0.530,-0.401,-210.510,-21.667,-38.452
0.206,-0.520,-0.334,-217.529,-21.240,-40.161
0.196,-0.509,-0.262,-223.389,-18.860,-42.236
0.171,-0.512,-0.182,-229.187,-15.259,-44.922
0.160,-0.515,-0.106,-234.070,-11.597,-46.753
0.158,-0.516,-0.042,-236.938,-6.409,-47.180
0.145,-0.513,0.019,-239.319,0.122,-47.607
