aX,aY,aZ,gX,gY,gZ
-0.097,0.381,0.907,-9.216,2.197,-3.296
-0.118,0.394,0.915,-7.263,2.136,-2.930
-0.141,0.397,0.924,-4.150,2.502,-2.014
-0.143,0.394,0.923,0.183,3.113,0.183
-0.124,0.398,0.910,5.371,2.808,3.235
-0.111,0.410,0.894,9.644,1.038,5.127
-0.097,0.422,0.870,12.390,-1.343,5.432
-0.084,0.414,0.849,12.024,-2.991,4.639
-0.078,0.405,0.840,10.193,-3.174,3.601
-0.076,0.406,0.828,7.568,-2.991,2.808
-0.076,0.392,0.827,2.808,-1.465,1.953
-0.080,0.383,0.836,-1.770,0.610,1.404
-0.077,0.405,0.845,-4.272,2.808,1.343
-0.078,0.408,0.854,-7.507,4.333,0.732
-0.086,0.397,0.875,-9.216,4.700,-0.610
-0.292,-0.879,1.982,-16.663,108.276,-88.867
-0.292,-0.876,1.909,3.784,117.432,-95.459
-0.216,-0.872,1.768,13.367,117.737,-94.788
-0.105,-0.824,1.613,10.132,106.201,-89.294
-0.029,-0.687,1.472,-2.197,84.045,-81.482
0.023,-0.513,1.420,-16.052,59.692,-72.205
0.115,-0.307,1.401,-21.179,39.368,-57.190
0.243,-0.057,1.312,-12.024,23.682,-34.668
0.380,0.220,1.107,11.414,9.766,-8.911
0.526,0.517,0.787,41.626,-3.967,19.470
0.682,0.859,0.401,69.397,-18.860,47.913
0.758,1.176,0.071,89.417,-34.363,69.763
0.690,1.531,-0.208,107.971,-48.828,79.529
0.661,2.004,-0.544,117.004,-47.913,84.717
0.557,2.465,-0.758,91.187,-45.044,73.608
0.405,2.601,-0.649,32.288,-63.171,28.503
0.088,2.562,-0.319,-27.832,-96.924,-33.142
-0.346,2.572,0.031,-60.547,-116.638,-83.862
-0.806,2.496,0.319,-78.796,-108.582,-118.896
-1.180,2.238,0.553,-85.510,-78.735,-127.747
-1.311,1.957,0.665,-78.552,-47.546,-104.187
-1.149,1.755,0.656,-59.570,-31.372,-58.350
-0.775,1.634,0.574,-37.170,-29.602,-10.986
-0.356,1.558,0.528,-17.273,-38.208,17.151
0.088,1.519,0.414,-10.193,-43.396,28.564
0.365,1.430,0.312,-21.484,-22.644,44.067
0.550,1.301,0.259,-35.583,-2.380,37.842
0.661,1.194,0.231,-41.809,6.531,19.348
0.654,1.160,0.209,-44.128,11.230,8.789
0.584,1.130,0.221,-46.997,10.559,4.456
0.457,1.066,0.290,-49.927,4.089,2.686
0.324,0.931,0.442,-48.462,0.183,10.681
0.286,0.823,0.551,-37.720,1.892,30.090
0.327,0.771,0.612,-23.254,3.845,52.734
0.358,0.682,0.681,-12.878,-1.038,65.918
0.370,0.579,0.752,-4.761,-8.301,68.726
0.387,0.482,0.809,1.953,-13.000,64.758
0.386,0.423,0.839,5.981,-14.038,54.932
0.323,0.378,0.859,8.301,-11.108,40.344
0.217,0.304,0.886,10.437,-2.930,24.841
0.123,0.215,0.897,13.306,9.583,13.367
0.063,0.161,0.902,18.616,20.508,8.606
0.038,0.125,0.897,25.208,22.766,8.545
0.017,0.087,0.876,22.949,15.259,8.911
-0.073,0.057,0.910,15.503,-0.427,9.644
-0.174,0.029,0.965,12.634,-14.832,12.756
-0.202,0.014,1.012,13.611,-23.193,17.517
-0.203,0.020,1.051,17.944,-26.001,25.818
-0.180,0.039,1.066,25.208,-26.184,30.518
-0.144,0.045,1.057,31.311,-27.222,27.161
-0.109,0.058,1.048,36.072,-29.846,17.822
-0.105,0.100,1.055,41.382,-30.823,9.216
-0.146,0.124,1.051,43.457,-26.978,2.075
-0.170,0.127,1.048,38.147,-19.714,-4.883
-0.191,0.125,1.054,32.227,-13.855,-8.606
-0.212,0.137,1.048,28.320,-11.658,-8.789
-0.241,0.155,1.039,22.522,-12.634,-7.385
-0.276,0.158,1.061,15.686,-14.221,-4.578
-0.280,0.175,1.075,12.268,-14.404,0.305
-0.261,0.223,1.074,11.719,-15.076,5.127
-0.252,0.250,1.084,10.925,-16.846,6.348
-0.218,0.267,1.086,11.536,-18.066,4.578
-0.189,0.302,1.082,14.465,-19.409,2.136
-0.199,0.342,1.087,20.447,-21.118,-1.770
-0.214,0.362,1.075,27.588,-19.104,-7.690
-0.235,0.375,1.077,32.288,-13.184,-13.123
-0.276,0.387,1.076,37.659,-6.348,-18.188
-0.276,0.384,1.052,42.053,1.709,-19.470
-0.276,0.382,1.023,43.823,7.507,-17.578
-0.269,0.399,0.983,42.603,8.301,-16.968
-0.262,0.398,0.955,37.720,6.836,-17.090
-0.246,0.390,0.943,30.701,5.066,-15.686
-0.228,0.397,0.952,23.987,3.845,-13.428
-0.192,0.409,0.954,18.494,4.578,-11.719
-0.160,0.409,0.966,10.742,5.249,-8.850
-0.144,0.388,0.986,3.723,4.089,-7.019
-0.125,0.370,1.004,0.122,1.221,-6.287
-0.115,0.358,1.011,-0.427,-2.319,-5.127
-0.115,0.347,1.022,0.854,-5.920,-4.456
-0.113,0.343,1.017,3.784,-8.728,-4.150
-0.103,0.322,1.001,5.920,-8.972,-3.357
-0.090,0.298,0.979,7.324,-7.446,-3.174
-0.080,0.281,0.947,9.216,-5.493,-3.784
-0.059,0.281,0.914,10.498,-3.052,-4.761
-0.035,0.285,0.879,8.850,0.488,-5.615
-0.021,0.286,0.861,4.089,3.784,-7.202
-0.025,0.300,0.870,0.793,6.409,-9.827
-0.049,0.316,0.896,0.671,9.644,-12.329
-0.082,0.338,0.930,-1.404,13.367,-14.465
-0.115,0.330,0.966,-0.671,18.372,-14.526
-0.110,0.329,0.964,2.502,21.973,-10.925
-0.089,0.330,0.941,7.751,20.142,-6.042
-0.078,0.326,0.933,10.986,11.902,-2.197
-0.057,0.347,0.913,10.620,1.099,2.502
-0.031,0.356,0.903,8.728,-7.263,7.324
-0.011,0.345,0.895,6.470,-12.512,9.949
0.007,0.347,0.889,4.456,-13.855,11.047
0.020,0.352,0.882,2.686,-11.719,10.498
0.025,0.351,0.870,-0.671,-8.057,8.179
0.016,0.356,0.881,-4.333,-3.906,4.333
1.050,2.381,-0.782,62.256,-81.055,35.095
0.964,2.549,-0.723,5.310,-85.144,-17.700
0.499,2.515,-0.449,-51.270,-102.661,-91.797
-0.193,2.452,-0.190,-88.562,-113.525,-155.823
-0.846,2.327,0.093,-108.704,-100.769,-181.885
-1.261,2.133,0.407,-115.173,-67.749,-164.551
-1.371,1.916,0.690,-106.934,-29.358,-116.882
-1.138,1.758,0.865,-83.069,-0.305,-54.993
-0.760,1.657,0.959,-51.208,15.930,7.874
-0.184,1.604,0.994,-20.630,6.287,49.561
0.267,1.578,0.913,-4.272,0.244,77.942
0.479,1.505,0.785,-0.610,2.747,94.788
0.569,1.406,0.612,5.920,-0.854,86.121
0.579,1.359,0.423,15.015,-4.456,78.613
0.566,1.280,0.273,15.381,-6.287,76.538
0.562,1.174,0.238,8.301,-9.399,74.951
0.558,1.057,0.274,0.732,-13.611,76.355
0.558,0.925,0.370,-6.775,-15.625,79.590
0.522,0.780,0.499,-15.015,-15.381,81.360
0.517,0.629,0.646,-18.616,-12.756,81.116
0.472,0.537,0.758,-17.944,-9.705,75.195
0.372,0.445,0.871,-13.733,-5.920,63.171
0.254,0.366,0.947,-6.409,2.197,50.781
0.167,0.292,0.997,1.343,14.404,41.565
0.122,0.255,1.022,8.240,22.888,35.828
0.090,0.270,1.019,14.832,26.001,32.898
0.061,0.238,1.002,16.846,24.292,29.541
0.026,0.180,1.005,14.832,17.700,24.719
-0.020,0.167,1.013,12.939,8.484,22.095
-0.063,0.155,1.016,12.512,-0.061,20.447
-0.111,0.139,1.016,10.437,-4.944,20.325
-0.151,0.124,1.028,10.620,-7.568,20.142
-0.159,0.115,1.033,10.803,-10.986,19.958
-0.182,0.128,1.054,11.292,-14.099,22.217
-0.195,0.148,1.060,14.221,-15.930,23.865
-0.204,0.166,1.049,19.836,-17.517,22.705
-0.192,0.173,1.032,28.625,-19.165,17.883
-0.191,0.189,1.012,35.645,-19.836,10.864
-0.185,0.236,0.976,39.673,-18.921,5.249
-0.167,0.285,0.934,41.504,-15.137,1.343
-0.170,0.295,0.903,38.940,-10.559,-3.845
-0.184,0.289,0.884,35.889,-6.042,-9.460
-0.213,0.285,0.874,33.569,-1.343,-11.963
-0.232,0.277,0.887,29.541,3.357,-11.597
-0.242,0.281,0.914,25.269,5.005,-8.179
-0.240,0.286,0.926,22.278,1.770,-3.418
-0.217,0.306,0.939,20.630,-4.211,1.648
-0.174,0.309,0.941,18.372,-10.132,7.080
-0.146,0.340,0.953,16.724,-16.052,11.414
-0.130,0.368,0.959,16.296,-20.142,10.498
-0.108,0.358,0.961,14.648,-19.775,6.775
-0.083,0.373,0.967,12.756,-16.235,3.540
-0.082,0.386,0.966,12.329,-11.719,0.977
-0.089,0.363,0.960,11.597,-8.972,-2.625
-0.078,0.369,0.955,11.108,-8.667,-5.005
-0.093,0.383,0.948,10.437,-9.766,-6.714
-0.135,0.367,0.946,7.690,-10.925,-9.583
-0.181,0.368,0.958,5.371,-11.169,-10.315
-0.214,0.365,0.962,8.179,-8.240,-10.803
-0.235,0.372,0.962,12.085,-4.395,-9.155
-0.242,0.369,0.952,16.174,-2.197,-3.967
-0.214,0.369,0.927,19.531,-2.136,1.709
-0.190,0.394,0.911,21.973,-5.005,5.859
-0.158,0.404,0.900,20.935,-8.789,7.751
-0.140,0.400,0.906,16.113,-10.742,7.751
-0.126,0.380,0.904,9.644,-10.864,6.104
-0.106,0.341,0.910,3.662,-9.216,3.967
-0.102,0.322,0.908,-1.099,-7.690,2.319
-0.100,0.328,0.905,-3.479,-5.981,-0.916
-0.116,0.330,0.905,-5.066,-4.333,-4.395
-0.135,0.351,0.907,-6.348,-2.014,-7.080
-0.175,0.377,0.926,-5.066,0.488,-9.338
-0.212,0.408,0.942,-0.061,4.089,-10.010
-0.218,0.435,0.940,6.592,8.545,-9.399
-0.222,0.462,0.925,12.085,9.827,-7.751
-0.213,0.461,0.892,14.221,8.179,-6.165
-0.201,0.438,0.865,13.428,5.127,-3.967
-0.187,0.418,0.842,12.085,2.075,-0.610
-0.169,0.401,0.825,8.911,-1.099,2.747
-0.147,0.372,0.811,3.235,-5.310,4.944
-0.134,0.343,0.807,-3.601,-10.132,6.836
-0.118,0.345,0.822,-8.545,-13.367,8.850
-0.116,0.352,0.844,-12.878,-15.015,9.521
-0.123,0.343,0.871,-15.564,-14.099,9.155
-0.129,0.347,0.895,-15.198,-11.047,8.057
-0.145,0.361,0.924,-11.841,-6.958,6.775
-0.156,0.378,0.948,-6.165,-2.319,5.737
-0.146,0.394,0.947,-0.122,1.099,5.310
-0.136,0.403,0.936,4.150,2.441,5.310
-0.130,0.404,0.932,7.019,2.136,5.432
-0.119,0.415,0.932,7.935,0.305,5.554
-0.103,0.422,0.934,7.690,-1.465,5.676
-0.095,0.413,0.927,5.737,-2.258,5.127
-0.096,0.388,0.931,2.991,-3.235,4.395
-0.089,0.381,0.931,1.099,-3.967,3.845
-0.089,0.370,0.935,-0.671,-4.150,3.296
-0.096,0.356,0.943,-1.465,-4.333,1.953
-0.100,0.355,0.948,-1.160,-3.845,1.099
-0.102,0.377,0.958,-0.427,-2.991,0.793
-0.118,0.386,0.957,0.305,-2.441,0.244
0.670,2.231,-0.515,79.041,-66.528,47.607
0.554,2.449,-0.555,60.120,-58.350,18.066
0.427,2.650,-0.519,26.917,-45.715,-11.292
0.318,2.707,-0.343,-18.799,-40.283,-50.354
-0.000,2.584,-0.044,-61.768,-43.884,-96.802
-0.426,2.337,0.275,-82.336,-54.626,-140.015
-0.817,2.058,0.448,-77.393,-59.082,-154.785
-0.980,1.820,0.442,-60.974,-54.810,-134.399
-0.959,1.636,0.412,-50.781,-47.607,-92.957
-0.762,1.459,0.471,-42.725,-46.143,-54.810
-0.477,1.357,0.514,-39.124,-39.246,-27.222
-0.211,1.273,0.587,-33.203,-7.996,5.493
0.085,1.196,0.627,-28.076,22.217,16.235
0.319,1.138,0.623,-22.034,43.213,7.446
0.406,1.080,0.585,-19.226,52.307,-8.606
0.427,0.999,0.555,-17.639,55.847,-22.339
0.425,0.961,0.542,-18.555,51.758,-27.283
0.379,0.901,0.604,-20.264,40.833,-27.100
0.303,0.793,0.676,-25.146,30.701,-18.860
0.231,0.647,0.729,-25.635,20.813,-2.502
0.211,0.568,0.738,-17.273,8.362,20.081
0.223,0.517,0.710,-7.507,-7.690,43.274
0.242,0.479,0.680,-2.014,-27.771,58.411
0.252,0.462,0.664,1.343,-47.424,63.538
0.250,0.426,0.665,2.991,-58.899,61.157
0.232,0.390,0.673,1.709,-61.584,52.246
0.190,0.371,0.692,1.038,-57.251,40.039
0.123,0.383,0.735,1.648,-48.157,28.442
0.040,0.403,0.789,2.747,-35.950,20.020
