aX,aY,aZ,gX,gY,gZ
0.664,0.692,0.347,-37.781,134.033,275.452
0.756,0.695,0.343,-45.105,131.775,257.568
0.822,0.707,0.383,-52.063,130.981,241.333
0.930,0.718,0.439,-58.533,135.498,227.539
1.057,0.735,0.506,-65.613,138.062,214.355
1.162,0.755,0.603,-73.669,132.690,197.388
1.200,0.760,0.755,-77.515,121.216,176.636
1.258,0.741,0.901,-75.867,114.441,158.813
1.273,0.792,0.945,-67.078,113.831,143.311
1.287,0.775,1.018,-59.814,106.323,117.126
1.277,0.725,1.065,-51.331,101.501,90.698
1.225,0.717,1.070,-44.189,96.680,68.359
1.205,0.682,1.001,-42.480,113.770,64.209
1.226,0.666,0.975,-24.353,96.375,39.673
1.172,0.601,0.978,-15.564,64.941,15.991
1.066,0.578,0.968,-16.724,43.335,7.935
0.993,0.557,0.950,-16.602,28.870,5.310
0.959,0.543,0.940,-15.259,14.343,0.000
0.900,0.545,0.951,-17.395,3.723,-5.615
0.807,0.553,0.981,-19.775,-2.380,-12.817
0.755,0.578,1.008,-20.020,-5.920,-20.691
0.695,0.577,1.034,-17.334,-9.094,-35.889
0.635,0.584,1.060,-13.550,-12.756,-53.528
0.498,0.630,1.104,-14.709,-10.925,-50.293
0.454,0.641,1.125,-14.526,-2.747,-55.298
0.451,0.622,1.095,-9.583,4.456,-70.190
0.429,0.606,1.067,-1.465,4.333,-83.435
0.410,0.601,1.028,5.371,1.099,-92.834
0.388,0.573,0.981,8.423,-1.831,-99.792
0.376,0.532,0.930,8.545,-5.554,-103.638
0.384,0.496,0.888,7.141,-12.207,-103.699
0.380,0.462,0.851,4.517,-23.132,-101.318
0.377,0.437,0.827,1.160,-37.781,-98.083
0.360,0.427,0.829,-2.441,-53.833,-94.055
0.347,0.432,0.870,-3.845,-68.298,-89.172
0.366,0.439,0.910,-0.488,-78.247,-85.144
0.394,0.446,0.927,5.066,-83.923,-83.496
0.405,0.468,0.937,11.169,-87.769,-84.473
0.399,0.484,0.939,18.127,-88.501,-89.600
0.406,0.485,0.921,25.940,-84.900,-97.900
0.387,0.459,0.890,32.227,-78.613,-106.628
0.355,0.425,0.853,36.194,-71.167,-115.051
0.316,0.405,0.814,37.476,-63.904,-121.826
0.286,0.379,0.784,34.729,-57.800,-125.732
0.262,0.347,0.758,29.907,-54.504,-128.723
0.239,0.326,0.747,23.804,-55.115,-129.150
0.204,0.308,0.742,17.212,-59.021,-126.770
0.169,0.289,0.753,10.193,-65.247,-123.718
0.164,0.293,0.772,5.188,-72.205,-119.629
0.146,0.316,0.795,1.709,-79.468,-115.784
0.116,0.329,0.834,0.122,-86.975,-113.342
0.088,0.332,0.871,1.892,-92.346,-110.779
0.075,0.334,0.890,5.493,-94.360,-108.093
0.059,0.330,0.890,10.376,-92.651,-106.445
0.040,0.329,0.870,15.198,-88.623,-106.384
0.019,0.336,0.843,18.066,-83.618,-107.910
-0.007,0.325,0.815,17.273,-77.515,-110.413
-0.031,0.304,0.795,12.634,-71.655,-114.075
-0.060,0.299,0.776,6.348,-66.895,-118.042
-0.118,0.315,0.760,-0.244,-62.622,-121.582
-0.181,0.329,0.764,-7.324,-58.167,-123.657
-0.227,0.343,0.782,-13.916,-52.856,-123.352
-0.259,0.362,0.821,-18.738,-46.021,-120.911
-0.287,0.371,0.879,-21.179,-39.063,-116.699
-0.269,0.372,0.923,-20.569,-33.142,-109.680
-0.240,0.373,0.934,-19.348,-30.518,-101.746
-0.223,0.373,0.932,-18.250,-34.607,-97.046
-0.233,0.367,0.938,-17.639,-42.664,-93.628
-0.233,0.346,0.942,-16.663,-49.866,-89.905
-0.226,0.342,0.926,-15.320,-54.016,-85.571
-0.230,0.344,0.897,-15.015,-55.237,-82.336
-0.251,0.345,0.874,-16.541,-55.298,-80.505
-0.278,0.352,0.865,-19.409,-53.284,-79.285
-0.310,0.369,0.871,-22.156,-47.791,-77.698
-0.328,0.385,0.894,-24.353,-39.673,-75.806
-0.328,0.377,0.936,-25.513,-30.273,-73.303
-0.332,0.401,0.976,-24.841,-20.386,-69.153
-0.337,0.384,1.002,-20.386,-12.756,-68.237
-0.309,0.380,1.001,-15.259,-8.789,-67.871
-0.308,0.383,1.000,-12.085,-9.094,-56.396
-0.294,0.378,0.994,-10.071,-9.277,-44.983
-0.278,0.369,0.983,-9.338,-9.766,-39.429
-0.255,0.373,0.966,-8.484,-11.108,-36.926
-1.506,0.849,0.696,44.495,54.932,117.249
-1.559,0.856,0.644,40.100,57.678,141.174
-1.537,0.869,0.641,36.743,59.753,166.931
-1.480,0.893,0.672,34.668,62.012,191.772
-1.417,0.900,0.728,33.936,67.017,213.379
-1.292,0.884,0.743,35.828,78.552,235.291
-1.102,0.878,0.697,40.466,91.736,255.737
-0.896,0.870,0.588,43.701,98.999,273.010
-0.699,0.840,0.488,41.504,98.633,286.438
-0.504,0.841,0.406,37.231,95.642,296.509
-0.340,0.874,0.375,30.518,93.872,305.298
-0.105,0.899,0.342,23.804,97.778,313.904
0.180,0.917,0.306,15.503,104.614,321.289
0.448,0.920,0.297,3.784,107.910,324.402
0.655,0.917,0.360,-10.620,107.666,323.364
0.904,0.873,0.440,-20.081,107.056,315.552
1.125,0.830,0.496,-22.705,108.948,303.955
1.291,0.786,0.544,-23.926,107.788,286.072
1.410,0.734,0.597,-23.315,104.980,261.841
1.488,0.712,0.634,-20.569,101.807,236.450
1.524,0.709,0.668,-17.578,95.642,210.144
1.536,0.748,0.709,-17.700,85.815,183.594
1.486,0.750,0.810,-21.667,73.364,155.762
1.452,0.738,0.895,-24.048,64.941,129.883
